Tag No.,Equipment / Document Title,Serial No.,Cal. Freq,First Calibration,Last Calibration,Next Calibration,Status,Owner,Location,Type of Calibration,Remark
B314,MITUTOYO DIGIMATIC BLADE MICROMETER (0~25mm) (Model: 422-260),35024914,1,29-Oct-2013,01-Oct-2025,01-Oct-2026,On progress to internal verification,Sarmadi,IPI QC WH,Internal Verification,"IATF,CLARION"
B239,NIKON DIGIMICRO (MF 501) (50 x 0.001mm),D05480,1,27-Apr-2012,03-Oct-2025,03-Oct-2026,Send to vendor on 11-Sep-26,Sarmadi,IPI QC CONNECTOR,External Calibration,"IATF,"
B459,Thermo hygrometer SANFIX TH303BL,NA,1,18-Oct-2023,03-Oct-2025,03-Oct-2026,Send to vendor on 11-Sep-26,Khudri,IPI CONN,External Calibration,
B481,Thermo hygrometer DEKKO,NA,1,21-Oct-2024,03-Oct-2025,03-Oct-2026,Send to vendor on 11-sep-26,Jamsuri,IPI STORE,External Calibration,
B290,BLOCK GAGE 24mm,6015,1,18-May-2012,09-Oct-2025,09-Oct-2026,Send to vendor on 11-Sep-26,Lastri,IPI QC CONNECTOR,External Calibration,
B63,MICROMETER (0 ~ 25mm),3052370,1,21-Jun-2013,21-Oct-2025,21-Oct-2026,Due >30d,Izmir,IPI MOLD MAINT,Internal Verification,
B64,MICROMETER (0 ~ 25mm),1222877,1,21-Jun-2013,21-Oct-2025,21-Oct-2026,Due >30d,Izmir,IPI MOLD MAINT,Internal Verification,
B101,Pin Gauge 0.52mm,NA,1,16-Jul-2012,22-Oct-2025,22-Oct-2026,Send to vendor on 10-Sep-26,Izmir,IPI MOLD MAINT,External Calibration,
B102,Pin Gauge 0.53mm,NA,1,16-Jul-2012,22-Oct-2025,22-Oct-2026,Send to vendor on 10-Sep-26,Izmir,IPI MOLD MAINT,External Calibration,
B103,Pin Gauge 0.54mm,NA,1,16-Jul-2012,22-Oct-2025,22-Oct-2026,Send to vendor on 10-Sep-26,Izmir,IPI MOLD MAINT,External Calibration,
B104,Pin Gauge 0.55mm,NA,1,16-Jul-2012,22-Oct-2025,22-Oct-2026,Send to vendor on 10-Sep-26,Izmir,IPI MOLD MAINT,External Calibration,
B105,Pin Gauge 0.56mm,NA,1,16-Jul-2012,22-Oct-2025,22-Oct-2026,Send to vendor on 10-Sep-26,Izmir,IPI MOLD MAINT,External Calibration,
B106,Pin Gauge 0.68mm,NA,1,16-Jul-2012,22-Oct-2025,22-Oct-2026,Send to vendor on 10-Sep-26,Izmir,IPI MOLD MAINT,External Calibration,
B107,Pin Gauge 0.43mm,NA,1,16-Jul-2012,22-Oct-2025,22-Oct-2026,Send to vendor on 10-Sep-26,Izmir,IPI MOLD MAINT,External Calibration,
B196,45 MIRROR JIG,NA,1,10-Jul-2012,23-Oct-2025,23-Oct-2026,Send to vendor on 11-Sep-26,Lastri,IPI QC WH,External Calibration,
B325,MITUTOYO MICROMETER (0 ~ 25mm),36110894,1,01-Jul-2014,23-Oct-2025,23-Oct-2026,Due >30d,Andris,IPI PE,Internal Verification,
B418,MITUTOYO Digimatic Indicator ID F 150,91216201081,1,12-Mar-2020,24-Oct-2025,24-Oct-2026,Send to vendor on 10-Sep-26,Dede,IPI PE,External Calibration,
B420,DIGIMATIC  MICROMETER POINT (0 ~ 25mm),25056140,1,25-Mar-2020,27-Oct-2025,27-Oct-2026,Due >30d,Marfa/Yus,IPI QC WH,Internal Verification,"IATF,CLARION"
B296,ENA NETWORK ANALYZER (MODEL NO. E5071C),MY46214903,1,27-Jul-2018,29-Oct-2025,29-Oct-2026,Due >30d,Sarmadi,IPI QC WH,External Calibration,
B489,HIPOT CABLE HARNESS CHECKER NAC,V24014543,1,13-Nov-2024,29-Oct-2025,29-Oct-2026,Due >30d,Agus R,IPI MCX,External Calibration,
B490,HIPOT CABLE HARNESS CHECKER NAC,V24014541,1,13-Nov-2024,29-Oct-2025,29-Oct-2026,Due >30d,Agus R,IPI MCX,External Calibration,
B491,HIPOT CABLE HARNESS CHECKER NAC,V24014542,1,13-Nov-2024,29-Oct-2025,29-Oct-2026,Due >30d,Agus R,IPI MCX,External Calibration,
B492,HIPOT CABLE HARNESS CHECKER NAC,V24014544,1,13-Nov-2024,29-Oct-2025,29-Oct-2026,Due >30d,Agus R,IPI MCX,External Calibration,
B537,Reflow Machine,NA,1,29-Oct-2025,29-Oct-2025,29-Oct-2026,Due >30d,Tika,IPI PE,External Calibration,
B417,Measuring Microscope (TMS) MM-40/L3T,2103440,1,06-Jan-2020,03-Nov-2025,03-Nov-2026,Due >30d,Sarmadi,IPI QC MCX,External Calibration,"IATF,BYD,PANASONIC"
B407,Measuring Microscope (TMS) MM-400/LM,3422220,1,05-Jul-2019,03-Nov-2025,03-Nov-2026,Due >30d,Sarmadi,IPI QC CONNECTOR,External Calibration,"IATF,BYD,BOSCH,PANASONIC"
B122,Measuring Microscope (TMS) MM-40/L3T,2104029,1,28-Feb-2012,04-Nov-2025,04-Nov-2026,Due >30d,Sarmadi,IPI QC WH,External Calibration,"IATF,CLARION"
